名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
甲斐 洋介,かい ようすけ,kai_yousuke@example.com,男,28,1989/12/13,既婚,A型,新潟県,062-791-1873,080- 213-8794,au,左ルー・せき止め派
斎藤 勝久,さいとう かつひさ,saitou_katsuhisa@example.com,男,62,1956/2/2,既婚,O型,徳島県,0 5-871-3840,090-5863-7975,ソフトバンク,左ルー・ルー攻め派
長友 優,ながとも ゆう,nagatomo_yuu@example.com,男,48,1970/9/7,既婚,B型,東京都,024-750-4578,080-9045-5567,ソフトバンク,右ルー・ルー攻め派
境 ジョージ,さかい じょーじ,sakai_george@example.com,男,42,1976/4/27,既婚,AB型,長野県,029- 92-6139,090-5779- 132,ドコモ,ぶっかけ・別口派
一木 洋,いちき よう,ichiki_you@example.com,男,78,1940/7/22,既婚,AB型,岐阜県,091-847-9002,090-6654-9488,ソフトバンク,ぶっかけ・せき止め派
菅沼 なつみ,すがぬま なつみ,suganuma_natsumi@example.com,女,79,1939/8/14,既婚,AB型,埼玉県,057-493-2721,080-2411-2173,ドコモ,手前ルー・ルー攻め派
浜田 ひかり,はまだ ひかり,hamada_hikari@example.com,女,67,1951/9/13,既婚,AB型,埼玉県,095-805-4206,090-6172- 498,ドコモ,ぶっかけ・せき止め派
長谷川 大,はせがわ まさる,hasegawa_masaru@example.com,男,61,1957/8/21,既婚,O型,青森県,016- 41-6767,080-6750-2183,ソフトバンク,ぶっかけ・混ぜ混ぜ派
杉村 まさし,すぎむら まさし,sugimura_masashi@example.com,男,59,1959/5/10,既婚,B型,愛知県,088-361-3776,080-7029-2975,ドコモ,左ルー・ルー攻め派
野崎 寛,のざき ひろし,nozaki_hiroshi@example.com,男,79,1939/6/27,既婚,O型,大阪府,0 5-402-1232,080-2285-1366,ドコモ,左ルー・ルー攻め派
篠田 俊介,しのだ しゅんすけ,shinoda_shunsuke@example.com,男,77,1940/12/24,既婚,A型,茨城県,046-336-5208,080-4577-8818,au,左ルー・別口派
首藤 さゆり,すどう さゆり,sudou_sayuri@example.com,女,32,1986/1/27,未婚,AB型,山口県,066-678-7158,090-5562-7765,ドコモ,左ルー・せき止め派
笹原 光洋,ささはら みつひろ,sasahara_mitsuhiro@example.com,男,69,1949/2/12,既婚,B型,大阪府,036-825-4758,080-4930-4659,ソフトバンク,左ルー・混ぜ混ぜ派
小西 美佳,こにし みか,konishi_mika@example.com,女,30,1988/7/22,既婚,A型,千葉県,088- 95-6154,090-3579-6441,ドコモ,左ルー・混ぜ混ぜ派
真田 さやか,さなだ さやか,sanada_sayaka@example.com,女,78,1940/7/14,既婚,O型,沖縄県,038- 11-2118,080-5847-3151,ツーカー,ぶっかけ・せき止め派
大西 涼子,おおにし りょうこ,oonishi_ryouko@example.com,女,25,1993/9/17,既婚,B型,岐阜県,036-294-7298,090-8713-8067,ドコモ,左ルー・ナン派
田辺 洋介,たなべ ようすけ,tanabe_yousuke@example.com,男,50,1968/2/10,既婚,O型,東京都,027-796-9129,090-4108- 835,ソフトバンク,左ルー・せき止め派
石坂 基祐,いしざか きすけ,ishizaka_kisuke@example.com,男,59,1958/12/30,既婚,B型,北海道,097-629-2265,080-3264-8036,au,左ルー・ナン派
丹羽 郁恵,たんば いくえ,tannba_ikue@example.com,女,52,1966/10/14,未婚,B型,大阪府,061-803-9961,080- 485-5441,ドコモ,左ルー・別口派
宮原 なつみ,みやはら なつみ,miyahara_natsumi@example.com,女,35,1982/11/17,既婚,A型,東京都,027-182-2152,090-8574-2731,ソフトバンク,奥ルー・ルー攻め派
本田 なつみ,ほんだ なつみ,honnda_natsumi@example.com,女,47,1970/11/10,既婚,B型,福岡県,043-186-4106,090-6676- 340,au,ぶっかけ・混ぜ混ぜ派
大竹 真一,おおたけ しんいち,ootake_shinichi@example.com,男,31,1987/9/12,未婚,A型,千葉県,054-437-6933,080-2393-2371,ソフトバンク,手前ルー・せき止め派
伊藤 秀隆,いとう ひでたか,itou_hidetaka@example.com,男,51,1967/3/31,既婚,O型,滋賀県,056-869-2187,090-2549-9142,au,左ルー・別口派
平良 美帆,ひらら みほ,hirara_miho@example.com,女,20,1998/10/20,未婚,A型,島根県,026-669-8702,080-9630-8709,au,ぶっかけ・混ぜ混ぜ派
北山 優一,きたやま ゆういち,kitayama_yuuichi@example.com,男,21,1997/3/30,既婚,A型,東京都,023-714-4520,080-6815-6049,au,右ルー・混ぜ混ぜ派
森永 悟志,もりなが さとし,morinaga_satoshi@example.com,男,79,1939/5/12,既婚,B型,和歌山県,039-766-6617,090-5327-7608,au,奥ルー・せき止め派
児島 寿々花,こじま すずか,kojima_suzuka@example.com,女,60,1958/3/16,既婚,O型,千葉県,0 2- 76-2685,090-2129-6281,au,左ルー・混ぜ混ぜ派
森永 惇,もりなが あつし,morinaga_atsushi@example.com,男,73,1945/10/3,既婚,A型,愛知県,091-370-2199,090-3266-6039,au,別盛り・ルー攻め派
黒川 隆太,くろかわ りゅうた,kurokawa_ryuuta@example.com,男,78,1939/11/5,既婚,O型,北海道,094- 72-7613,080-2904-3594,ドコモ,ぶっかけ・せき止め派
岡本 サンタマリア,おかもと さんたまりあ,okamoto_stmaria@example.com,女,49,1968/12/15,既婚,B型,大阪府,057-336-3153,080-7295- 900,ドコモ,奥ルー・混ぜ混ぜ派
柴山 照生,しばやま てるお,shibayama_teruo@example.com,男,55,1963/7/17,既婚,AB型,北海道,0  -259-2619,080-7978-8877,ドコモ,別盛り・せき止め派
清野 詩織,きよの しおり,kiyono_shiori@example.com,女,61,1957/3/2,既婚,O型,兵庫県,012-764- 631,090-2847-5311,au,ぶっかけ・せき止め派
三船 あおい,みふね あおい,mifune_aoi@example.com,女,71,1947/8/14,既婚,B型,福岡県,037-613-4429,080-4098-2274,au,ぶっかけ・ルー攻め派
矢部 勇,やべ ゆう,yabe_yuu@example.com,女,67,1951/9/30,既婚,A型,熊本県,0 6-267-  15,090-4005- 306,au,ぶっかけ・せき止め派
西 隼士,にし しゅんじ,nishi_shunji@example.com,男,53,1965/10/29,既婚,B型,愛知県,032-997- 357,090-3147- 992,ドコモ,ぶっかけ・ルー攻め派
菅沼 利夫,すがぬま としお,suganuma_toshio@example.com,男,72,1946/1/3,既婚,O型,岐阜県,088-658-2395,090-2726-4137,au,ぶっかけ・ルー攻め派
山瀬 あき,やませ あき,yamase_aki@example.com,女,22,1996/10/12,既婚,B型,東京都,068-435-4314,090-8884-4602,ドコモ,ぶっかけ・ナン派
唐沢 玲那,からさわ れな,karasawa_rena@example.com,女,49,1969/3/21,既婚,O型,熊本県,034- 55-2406,090-4416-4993,ソフトバンク,右ルー・混ぜ混ぜ派
彼方 杏,かなた あん,kanata_ann@example.com,女,24,1994/5/26,既婚,O型,千葉県,092-680-9734,090-1840-6299,ドコモ,左ルー・ルー攻め派
金児 みあ,かねこ みあ,kaneko_mia@example.com,女,73,1945/8/2,既婚,B型,兵庫県,086-404-1875,090-4079-5423,ドコモ,ぶっかけ・ルー攻め派
後藤 有海,ごとう あみ,gotou_ami@example.com,女,43,1975/10/27,既婚,B型,栃木県,089-346-7725,090-7656-3607,ドコモ,左ルー・せき止め派
森下 裕司,もりした ゆうじ,morishita_yuuji@example.com,男,77,1941/5/4,既婚,AB型,兵庫県,088-954-4957,080-6112-4249,ソフトバンク,左ルー・別口派
小畑 麻由子,おばた まゆこ,obata_mayuko@example.com,女,26,1992/10/5,未婚,O型,鹿児島県,086-669-9127,080-1596-8330,ドコモ,右ルー・混ぜ混ぜ派
前野 沙知絵,まえの さちえ,maeno_sachie@example.com,女,28,1990/2/22,未婚,B型,東京都,088-898-5207,090-9768-5868,au,右ルー・せき止め派
峰 隆太,みね りゅうた,mine_ryuuta@example.com,男,66,1952/9/13,既婚,O型,岡山県,085-316-4658,080-3869-3189,au,手前ルー・混ぜ混ぜ派
福地 茂樹,ふくち しげき,fukuchi_shigeki@example.com,男,73,1945/8/26,既婚,B型,埼玉県,062- 93- 797,080-9892-5500,ドコモ,左ルー・別口派
堀 蒼甫,ほり そうすけ,hori_sousuke@example.com,男,75,1943/5/7,既婚,B型,石川県,057-705-2547,090-9216-9986,ドコモ,ぶっかけ・混ぜ混ぜ派
本村 花,ほんむら はな,honnmura_hana@example.com,女,55,1963/3/30,既婚,B型,京都府,021-135-3170,090-3747-9218,ドコモ,右ルー・ナン派
黒崎 満,くろさき みつる,kurosaki_mitsuru@example.com,男,59,1959/9/16,既婚,A型,富山県,039-139-5612,090-7514-6553,ドコモ,ぶっかけ・ルー攻め派
北村 浩介,きたむら こうすけ,kitamura_kousuke@example.com,男,38,1980/6/28,未婚,O型,福岡県,047-663-1120,080-1873-2857,ドコモ,手前ルー・ルー攻め派
ユースケ 健,ゆーすけ けん,yusuke_ken@example.com,男,76,1942/8/1,既婚,AB型,静岡県,024- 63-9180,090-3716-2641,au,ぶっかけ・せき止め派
楠本 菜摘,くすもと なつみ,kusumoto_natsumi@example.com,女,33,1985/6/28,既婚,A型,愛知県,074-937-6729,080-5735-1456,au,左ルー・せき止め派
菅 はるか,すが はるか,suga_haruka@example.com,女,38,1980/2/20,既婚,A型,愛知県,060-376-7642,090-4687-1098,au,手前ルー・ルー攻め派
吉原 崇史,よしわら たかし,yoshiwara_takashi@example.com,男,39,1979/10/16,既婚,A型,和歌山県,065-806-4209,080-3388-7037,ドコモ,左ルー・混ぜ混ぜ派
森山 遥,もりやま はるか,moriyama_haruka@example.com,女,25,1993/10/13,既婚,O型,京都府,086-263-9814,080-4592-7013,au,ぶっかけ・別口派
近藤 一哉,こんどう かずや,kondou_kazuya@example.com,男,27,1991/9/20,既婚,O型,福島県,014-145- 363,080-3326-8847,ドコモ,左ルー・せき止め派
大城 サダヲ,おおしろ さだお,ooshiro_sadawo@example.com,男,46,1972/1/17,未婚,A型,千葉県,0 7-511-5391,080- 438-8123,ドコモ,左ルー・せき止め派
杉山 幸平,すぎやま こうへい,sugiyama_kouhei@example.com,男,54,1964/3/22,既婚,A型,東京都,047-241-2725,090-9661- 472,au,左ルー・せき止め派
黒沢 瞬,くろさわ しゅん,kurosawa_shun@example.com,男,67,1950/11/13,既婚,O型,埼玉県,077-  6-6303,090-7442- 425,au,右ルー・ルー攻め派
金城 一輝,かなしろ かずき,kanashiro_kazuki@example.com,男,62,1956/5/21,既婚,B型,群馬県,058-762-8609,080-4549-9706,ドコモ,右ルー・ルー攻め派
田尻 寿明,たじり としあき,tajiri_toshiaki@example.com,男,36,1982/2/3,未婚,O型,千葉県,033-168-1021,090-2272-  54,ドコモ,別盛り・ルー攻め派
石塚 賢治,いしづか けんじ,ishiduka_kenji@example.com,男,64,1954/1/13,既婚,A型,岐阜県,013-  9-2491,090-1325-5914,au,手前ルー・ルー攻め派
野上 勤,のがみ つとむ,nogami_tsutomu@example.com,男,36,1982/5/1,既婚,B型,新潟県,041-965-3214,090-2645-2184,ドコモ,奥ルー・せき止め派
山上 隆博,やまがみ たかひろ,yamagami_takahiro@example.com,男,30,1987/12/14,既婚,A型,愛媛県,089-139-7081,090-8829-5408,ドコモ,左ルー・せき止め派
広川 ヒロ,ひろかわ ひろ,hirokawa_hiro@example.com,男,24,1994/6/10,未婚,A型,青森県,072-236-5034,080-5210-2465,ドコモ,右ルー・せき止め派
笠井 小雁,かさい こがん,kasai_kogan@example.com,男,72,1946/3/30,既婚,A型,三重県,0 2- 42- 729,090-9509-5028,ドコモ,ぶっかけ・混ぜ混ぜ派
及川 遥,おいかわ はるか,oikawa_haruka@example.com,女,48,1970/4/13,既婚,O型,神奈川県,043-732-1874,080-1624-8430,ドコモ,手前ルー・別口派
鈴木 雅之,すずき まさゆき,suzuki_masayuki@example.com,男,58,1960/10/30,既婚,A型,山形県,099-218-3130,080-1765-9820,ドコモ,左ルー・せき止め派
野村 綾,のむら あや,nomura_aya@example.com,女,49,1969/7/15,既婚,B型,群馬県,096-623-3559,080-8573-8622,ドコモ,ぶっかけ・ルー攻め派
亀井 しぼり,かめい しぼり,kamei_shibori@example.com,女,27,1991/8/9,既婚,O型,福島県,045- 54-6649,080-6883-4935,au,左ルー・ルー攻め派
大森 恵子,おおもり けいこ,oomori_keiko@example.com,女,25,1993/3/15,既婚,A型,千葉県,052-679-4898,080-1774-4280,ドコモ,奥ルー・せき止め派
会田 恵梨香,あいだ えりか,aida_erika@example.com,女,64,1954/4/11,既婚,A型,福岡県,034-980-5928,080-4142-1557,au,奥ルー・せき止め派
梅沢 たまき,うめざわ たまき,umezawa_tamaki@example.com,女,76,1942/1/30,既婚,O型,長崎県,084- 33-5687,090- 363-9080,ドコモ,ぶっかけ・ナン派
永井 幸平,ながい こうへい,nagai_kouhei@example.com,男,40,1978/9/26,既婚,B型,東京都,0 1-660-8509,090-7871-3955,ドコモ,別盛り・せき止め派
根岸 将也,ねぎし まさや,negishi_masaya@example.com,男,72,1945/12/23,既婚,B型,熊本県,052-370- 810,090-7383-7636,ドコモ,右ルー・別口派
堤 碧海,つつみ おうが,tsutsumi_ouga@example.com,男,41,1977/9/11,既婚,O型,埼玉県,045-892-6431,080-1922-3463,ドコモ,左ルー・ルー攻め派
西岡 フミヤ,にしおか ふみや,nishioka_fumiya@example.com,男,32,1986/7/11,既婚,A型,愛知県,019-582-5012,090-8664-1656,ドコモ,ぶっかけ・ルー攻め派
船橋 景子,ふなばし けいこ,funabashi_keiko@example.com,女,46,1972/7/2,既婚,B型,茨城県,053-850-3945,080- 308-4211,ドコモ,右ルー・せき止め派
橋爪 ジョージ,はしづめ じょーじ,hashidume_george@example.com,男,43,1975/8/23,既婚,B型,埼玉県,027-120-1305,090-3876- 205,au,右ルー・ナン派
阿部 勝久,あべ かつひさ,abe_katsuhisa@example.com,男,29,1989/4/19,既婚,O型,岩手県,075- 62-4862,090-6890-5311,ドコモ,ぶっかけ・せき止め派
大平 慢太郎,おおひら まんたろう,oohira_mantarou@example.com,男,54,1964/5/6,既婚,O型,北海道,035-988-2970,080-5679-9143,au,ぶっかけ・ルー攻め派
武内 真一,たけうち しんいち,takeuchi_shinichi@example.com,男,20,1998/2/9,未婚,A型,東京都,065-263- 963,080-5131-3337,ソフトバンク,左ルー・混ぜ混ぜ派
水島 光,みずしま ひかる,mizushima_hikaru@example.com,女,47,1971/9/1,既婚,A型,大阪府,049-894-8979,080-5014-5684,ドコモ,手前ルー・混ぜ混ぜ派
山内 あや子,やまのうち あやこ,yamanouchi_ayako@example.com,女,26,1992/5/31,既婚,AB型,東京都,098-750-5190,080-6288-1093,au,ぶっかけ・ルー攻め派
土居 崇史,どい たかし,doi_takashi@example.com,男,71,1947/3/26,既婚,O型,兵庫県,032-777-2753,080-9314-4751,ドコモ,左ルー・ルー攻め派
中田 瞳,なかた ひとみ,nakata_hitomi@example.com,女,54,1964/1/3,既婚,B型,愛知県,044-923-5859,090-7255-3067,ドコモ,左ルー・せき止め派
内田 良介,うちだ りょうすけ,uchida_ryousuke@example.com,男,58,1960/10/3,既婚,A型,愛媛県,055-278-7845,080-2840-7613,au,別盛り・ルー攻め派
相原 将也,あいはら まさや,aihara_masaya@example.com,男,48,1970/9/9,既婚,A型,北海道,010-495- 925,080-9715-2221,au,左ルー・ルー攻め派
小坂 祐一,こざか ゆういち,kozaka_yuuichi@example.com,男,26,1992/7/25,既婚,AB型,埼玉県,013-847-3209,090-8455-2678,ドコモ,奥ルー・混ぜ混ぜ派
池谷 メイサ,いけたに めいさ,iketani_meisa@example.com,女,51,1967/5/14,既婚,O型,福井県,045-789-8382,080-9278- 823,ドコモ,別盛り・別口派
末吉 美幸,すえきち みゆき,suekichi_miyuki@example.com,女,59,1958/11/25,既婚,B型,愛知県,021-294-7532,080-3433-3861,ツーカー,ぶっかけ・ルー攻め派
古田 彩華,ふるた あやか,furuta_ayaka@example.com,女,52,1966/8/1,既婚,B型,愛知県,064-549-5186,090-7297-3921,au,ぶっかけ・せき止め派
須賀 美幸,すが みゆき,suga_miyuki@example.com,女,45,1973/4/30,既婚,A型,鹿児島県,057-545-3801,080- 820-2522,ドコモ,右ルー・せき止め派
木戸 美優,きど みゅう,kido_myuu@example.com,女,24,1994/5/2,未婚,AB型,新潟県,098-931-9294,080-4935-5555,ドコモ,左ルー・別口派
多田 宏,ただ ひろし,tada_hiroshi@example.com,男,31,1987/5/9,既婚,AB型,山形県,065-108- 792,090-4889-6461,ソフトバンク,奥ルー・混ぜ混ぜ派
相沢 達士,あいざわ たつひと,aizawa_tatsuhito@example.com,男,72,1946/8/21,既婚,AB型,埼玉県,014-140-6746,080- 460-8780,ソフトバンク,左ルー・せき止め派
出口 由美子,でぐち ゆみこ,deguchi_yumiko@example.com,女,75,1943/8/4,既婚,B型,大阪府,056-177-7582,090-9382-8412,ソフトバンク,奥ルー・混ぜ混ぜ派
藤川 信吾,ふじかわ しんご,fujikawa_shingo@example.com,男,42,1976/7/17,既婚,B型,徳島県,023-210-8301,080-3853-9756,au,左ルー・別口派
中沢 啓介,なかざわ けいすけ,nakazawa_keisuke@example.com,男,44,1973/12/14,既婚,A型,山口県,074-960-1675,090-9260-3557,au,左ルー・ルー攻め派
百瀬 公顕,ももせ きみあき,momose_kimiaki@example.com,男,48,1970/9/1,既婚,AB型,東京都,058-834-6175,080-5386-9341,ドコモ,ぶっかけ・ルー攻め派
吉本 みき,よしもと みき,yoshimoto_miki@example.com,女,51,1967/4/15,既婚,O型,石川県,039-710-7350,080-3469-3746,ドコモ,左ルー・せき止め派
原 里穂,はら りほ,hara_riho@example.com,女,47,1971/8/16,既婚,O型,兵庫県,040-963-2114,080-5710-1177,ドコモ,ぶっかけ・ルー攻め派
湯浅 さやか,ゆあさ さやか,yuasa_sayaka@example.com,女,56,1962/3/10,既婚,O型,北海道,015- 57-3595,080-6016- 220,au,左ルー・ルー攻め派
小口 早織,おぐち さおり,oguchi_saori@example.com,女,66,1952/2/15,既婚,B型,山梨県,018-454-6381,080-5554-9639,ドコモ,左ルー・せき止め派
柄本 優,えもと ゆう,emoto_yuu@example.com,女,73,1945/9/19,既婚,A型,埼玉県,070- 94-5581,080- 705-  50,ツーカー,左ルー・混ぜ混ぜ派
大熊 景子,おおくま けいこ,ookuma_keiko@example.com,女,80,1938/5/31,既婚,O型,福井県,0  -261- 626,090-5771-5579,ドコモ,左ルー・ルー攻め派
長谷川 璃奈子,はせがわ りなこ,hasegawa_rinako@example.com,女,32,1986/4/9,既婚,O型,福岡県,059-537-5519,090-9356-1295,ドコモ,左ルー・ナン派
畑 亮,はたけ りょう,hatake_ryou@example.com,男,45,1973/8/1,既婚,O型,長野県,089-574-6183,080-8755-3184,ソフトバンク,ぶっかけ・せき止め派
根本 広司,ねもと こうじ,nemoto_kouji@example.com,男,36,1981/12/26,既婚,A型,長野県,036-524-5881,080-3645-8471,ドコモ,手前ルー・せき止め派
野村 長利,のむら ながとし,nomura_nagatoshi@example.com,男,44,1974/1/19,既婚,A型,愛知県,027-605- 103,090-5435-2945,ソフトバンク,右ルー・混ぜ混ぜ派
森 愛,もり あい,mori_ai@example.com,女,50,1968/6/20,既婚,O型,愛知県,092-653-4680,080-5494-8017,au,ぶっかけ・混ぜ混ぜ派
